Specie,Enzyme,EC number,Target sugar,Description,Status,Source ID (NCBI),Origin
Leptolyngbya sp. FACHB-1624,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. FACHB-1624],🟢 Confirmed,XOF27084.1,Organism: Leptolyngbya sp. FACHB-1624 | Strain: FACHB-1624 | Isolation source: soil | Db xref: taxon:2692802 | Geo loc name: China: Inner Mongolia | Collection date: 2009-10
Leptolyngbya sp. FACHB-1624,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. FACHB-1624],🟢 Confirmed,XOF22451.1,Organism: Leptolyngbya sp. FACHB-1624 | Strain: FACHB-1624 | Isolation source: soil | Db xref: taxon:2692802 | Geo loc name: China: Inner Mongolia | Collection date: 2009-10
Chloropicon roscoffensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon roscoffensis],🟢 Confirmed,XKU22121.1,Organism: Chloropicon roscoffensis | Strain: RCC2335 | Db xref: taxon:1461544 | Chromosome: 12 | Geo loc name: Japan: Sagami Bay | Lat lon: 35.22 N 139.62 E | Collection date: 2009-05-04
Chloropicon roscoffensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon roscoffensis],🟢 Confirmed,XKU21679.1,Organism: Chloropicon roscoffensis | Strain: RCC2335 | Db xref: taxon:1461544 | Chromosome: 11 | Geo loc name: Japan: Sagami Bay | Lat lon: 35.22 N 139.62 E | Collection date: 2009-05-04
Chloropicon roscoffensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon roscoffensis],🟢 Confirmed,XKU17544.1,Organism: Chloropicon roscoffensis | Strain: RCC2335 | Db xref: taxon:1461544 | Chromosome: 3 | Geo loc name: Japan: Sagami Bay | Lat lon: 35.22 N 139.62 E | Collection date: 2009-05-04
Chloropicon roscoffensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon roscoffensis],🟢 Confirmed,XKU12862.1,Organism: Chloropicon roscoffensis | Strain: CCMP1998 | Db xref: taxon:1461544 | Chromosome: 11 | Geo loc name: Atlantic Ocean: Sargasso Sea | Lat lon: 20.7722 N 63.0368 W | Collection date: 1994-02-24
Chloropicon roscoffensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon roscoffensis],🟢 Confirmed,XKU12440.1,Organism: Chloropicon roscoffensis | Strain: CCMP1998 | Db xref: taxon:1461544 | Chromosome: 10 | Geo loc name: Atlantic Ocean: Sargasso Sea | Lat lon: 20.7722 N 63.0368 W | Collection date: 1994-02-24
Chloropicon roscoffensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon roscoffensis],🟢 Confirmed,XKU09398.1,Organism: Chloropicon roscoffensis | Strain: CCMP1998 | Db xref: taxon:1461544 | Chromosome: 4 | Geo loc name: Atlantic Ocean: Sargasso Sea | Lat lon: 20.7722 N 63.0368 W | Collection date: 1994-02-24
Trebouxia sp. C0009 RCD-2024,beta-galactosidase,3.2.1.23,lactose,"Glycoside hydrolase 2 (Mannanase, beta-galactosidase) [Trebouxia sp. C0009 RCD-2024]",🟢 Confirmed,KAL3145805.1,Organism: Trebouxia sp. C0009 RCD-2024 | Isolate: C0009 | Isolation source: scrub vegetation | Db xref: taxon:3373144 | Geo loc name: USA: California | Lat lon: 37.88146 N 121.91402 W | Collection date: 2016-07-08
Leptolyngbya sp. BL-A-14,beta-galactosidase,3.2.1.23,lactose,MAG: beta-galactosidase [Leptolyngbya sp. BL-A-14],🟢 Confirmed,XGV94482.1,"Organism: Leptolyngbya sp. BL-A-14 | Isolate: BL-A-14 | Isolation source: surface lake water | Db xref: taxon:3104317 | Environmental sample:  | Geo loc name: USA: Enid lake, Mississippi | Lat lon: 34.1375 N 89.9058 W | Collection date: 2020-07 | Metagenome source: freshwater metagenome | Note: metagenomic"
Chloropicon roscoffensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon roscoffensis],🟢 Confirmed,WZN65198.1,Organism: Chloropicon roscoffensis | Strain: RCC1871 | Isolation source: Roscoff Astan sampling station | Db xref: taxon:1461544 | Chromosome: 11 | Geo loc name: France: English Channel | Lat lon: 48.75 N 3.75 W | Collection date: 2009-02-05
Chloropicon roscoffensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon roscoffensis],🟢 Confirmed,WZN64774.1,Organism: Chloropicon roscoffensis | Strain: RCC1871 | Isolation source: Roscoff Astan sampling station | Db xref: taxon:1461544 | Chromosome: 10 | Geo loc name: France: English Channel | Lat lon: 48.75 N 3.75 W | Collection date: 2009-02-05
Chloropicon roscoffensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon roscoffensis],🟢 Confirmed,WZN60815.1,Organism: Chloropicon roscoffensis | Strain: RCC1871 | Isolation source: Roscoff Astan sampling station | Db xref: taxon:1461544 | Chromosome: 03 | Geo loc name: France: English Channel | Lat lon: 48.75 N 3.75 W | Collection date: 2009-02-05
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase (Beta-gal) (Lactase) [Durusdinium trenchii],🟢 Confirmed,CAK8998252.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s1271
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase (Beta-gal) (Lactase) [Durusdinium trenchii],🟢 Confirmed,CAK8998343.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s1274
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase (Beta-gal) (Lactase) [Durusdinium trenchii],🟢 Confirmed,CAK8998342.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s1274
